#|Morning Prayer||Evening Prayer||||First Lesson|Second Lesson|First Lesson|Second Lesson
easter|5|Monday|Monday|Joshua 1|Acts 21:1-16|Joshua 2|Acts 21:17-36
easter|5|Tuesday|Tuesday|Joshua 3|Acts 21:37―22.:2|Joshua 4:1―5:1|Acts 22:23―23.:1
easter|5|Wednesday|Wednesday|Joshua 5:13―6.:0|Acts 23:12-end|Joshua 7|Acts 24:1-23
easter|5|Thursday|Thursday|Joshua 9:3-end|Acts 24:24―25.:2|Joshua 10:1-15|Acts 25:13-end
easter|5|Friday|Friday|Joshua 21:43―22:8|Acts 26|Joshua 22:9-end|Acts 27
easter|5|Saturday|Saturday|Joshua 23|Acts 28:1-15|Joshua 24:1-28|Acts 28:16-end
easter|6|Sunday|Sixth Sunday of Easter [Rogation]|Num 24:1-19|Rom 6:1-14|Deut 6|Luke 10:38―11.:3
easter|6|Monday|Monday Rogation Days|Deut 7:6-13|Matt 6:5-18|Deut 8|Matt 6:19-end
easter|6|Tuesday|Tuesday Rogation Days|Deut 11:8-21|Luke 5:1-11|1 Kings 8:22-43|Jas 5:1-18
easter|6|Wednesday|Wednesday Rogation Days|Joel 2:21-27|John 6:22-40|Song of Three Children 29-37|Matt 28:16-end
easter|6|Thursday|Thursday Ascension Day|2 Kings 2:1-15|John 17|Dan 7:9, 10, 13, 14|Heb 1
easter|6|Friday|Friday|Judges 2:6-end|Heb 2|Judges 3:12-end|Heb 3
easter|6|Saturday|Saturday|Judges 4|Heb 4:1-13|Judges 5|Heb 4:14―5.:0
easter|7|Sunday|Sunday after Ascension Day|Isa 65:17-end|Luke 24:36-end|Jer 31:1-13|Eph 5:1-14
easter|7|Monday|Monday|Judges 6:1-35|Heb 5:11―6 end|Judges 6:36―7.:3|Heb 7
easter|7|Tuesday|Tuesday|Judges 7:24―8.:8|Heb 8|Judges 8:32―9.:4|Heb 9:1-14
easter|7|Wednesday|Wednesday|Judges 9:26-end|Heb 9:15-end|Judges 10:17―11.:8|Heb 10:1-18
easter|7|Thursday|Thursday|Judges 11:29―12:7|Heb 10:19-end|Judges 13|Heb 11
easter|7|Friday|Friday|Judges 14|Heb 12:1-13|Judges 15:1―16:3|Heb 12:14-end
easter|7|Saturday|Saturday|Judges 16:4-end|Heb 13|Deut 16:9-12|Acts 18:24―19:7
proper|1|Sunday|Pentecost|Joel 2:28-end|Rom 8:1-17|Isa 11:1-9|Rom 8:18-end
proper|1|Monday|Monday|Ezek 11:14-20|Acts 2:12-36|Wisd 1:1-7|Acts 2:37-end
proper|1|Tuesday|Tuesday|Ezek 37:1-14|1 Cor 12:1-13|Wisd 7:15―8:1|1 Cor 12:27―13 end
proper|1|Wednesday|Wednesday Ember Day|1 Kings 19:1-18|1 Cor 2|Wisd 9|1 Cor 3
proper|1|Thursday|Thursday|2 Sam 23:1-5|Eph 6:10-20|Exod 35:30―36:1|Gal 5:13-end
proper|1|Friday|Friday Ember Day|Num 11:16, 17, 24-29|2 Cor 5:14―6.:0|Jer 31:31-34|2 Cor 3
proper|1|Saturday|Saturday Ember Day|Num 27:15-end|Matt 9:35―10.:0|Isa 61|2 Tim 1:3-14
proper|2|Sunday|Trinity Sunday|Isa 6:1-8|Mark 1:1-13|Isa 40:12-end|1 Pet 1:1-12
proper|2|Monday|Monday|Job 1|Jas 1|Job 2|Mark 1:14-31
proper|2|Tuesday|Tuesday|Job 3|Jas 2:1-13|Job 4|Mark 1:32-end
proper|2|Wednesday|Wednesday|Job 5|Jas 2:14-end|Job 6|Mark 2:1-22
proper|2|Thursday|Thursday|Job 7|Jas 3|Job 8|Mark 2:23―3.:2
proper|2|Friday|Friday|Job 9|Jas 4|Job 10|Mark 3:13-end
proper|2|Saturday|Saturday|Job 11|Jas 5|Job 12|Mark 4:1-34
proper|3|Sunday|Sunday closest to May 25|Joshua 1:1-9|Mark 1:21-34|1 Sam 9:1―10:1|Acts 1:1-14
proper|3|Monday|Monday|Job 13|1 Pet 1:1-21|Job 14|Mark 4:35―5.:0
proper|3|Tuesday|Tuesday|Job 15:1-16 (17-35)|1 Pet 1:22―2.:0|Job 16:1―17:2|Mark 5:21-end
